卫视,#genre#
广东卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226686/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226167/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226743/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225985/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227318/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226436/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226476/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226934/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226964/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227044/index.m3u8#http://[2409:8087:1408:22::100d]/wh7f454c46tw828314709_869126520/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226743/index.m3u8
黑龙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226145/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226749/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227288/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225980/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226478/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226873/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226953/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227052/index.m3u8
北京卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226724/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226195/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226666/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227340/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225988/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226871/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226419/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226449/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227062/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227080/index.m3u8#http://[2409:8087:1408:22::1009]/wh7f454c46tw870338636_-1834397404/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226724/index.m3u8
东方卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226697/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226187/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227212/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226733/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225976/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226434/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226453/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226877/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227066/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227088/index.m3u8#http://[2409:8087:1408:26::112a]/wh7f454c46tw911717571_-732605078/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226733/index.m3u8
浙江卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226795/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226134/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227313/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226700/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225975/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226427/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226618/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226932/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227017/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227078/index.m3u8
贵州卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226874/index.m3u8#http://[2409:8087:1400:26::1012]:80/PLTV/88888888/224/3221226616/index.m3u8
重庆卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227227/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226737/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226490/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226885/index.m3u8#http://[2409:8087:1408:26::114d]/wh7f454c46tw1080878439_1995117305/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226737/index.m3u8
湖南卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226144/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227316/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226727/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226669/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225981/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226421/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226480/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226936/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227015/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227074/index.m3u8#http://[2409:8087:1408:22::1009]/wh7f454c46tw694005976_1534594884/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226727/index.m3u8
安徽卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227233/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226746/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226045/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226447/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226879/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227024/index.m3u8#http://[2409:8087:1408:26::114c]/wh7f454c46tw758943175_-1375271473/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226746/index.m3u8
江苏卫视,http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226160/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226672/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221227303/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226902/index.m3u8#http://hwottcdn.ln.chinamobile.com/PLTV/11/224/3221225989/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226423/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226638/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221226930/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227009/index.m3u8#http://[2409:8087:1400:26::1012]/PLTV/88888888/224/3221227070/index.m3u8#http://[2409:8087:1408:26::111c]/wh7f454c46tw740253759_1025400998/hwottcdn.ln.chinamobile.com/PLTV/11/224/3221226902/index.m3u8
